state,district,population,phcs,population_per_phc,stress_score,stress_category
jammu and kashmir,0,12541302,637,19688.072213500785,0.5844037292851,Low Stress
jammu and kashmir,1,870354,637,1366.3328100470958,0.03871135450488415,Low Stress
jammu and kashmir,2,753745,637,1183.2731554160125,0.03325912884757284,Low Stress
jammu and kashmir,3,133487,637,209.55572998430142,0.004258051900230847,Low Stress
jammu and kashmir,4,140802,637,221.0392464678179,0.004600075506326708,Low Stress
jammu and kashmir,5,476835,637,748.563579277865,0.020311793678194173,Low Stress
jammu and kashmir,6,642415,637,1008.5007849293563,0.028053730615631312,Low Stress
jammu and kashmir,7,616435,637,967.7158555729984,0.026838997425423457,Low Stress
jammu and kashmir,8,1008039,637,1582.4788069073784,0.04514901960472129,Low Stress
jammu and kashmir,9,392232,637,615.7488226059654,0.016356055722414522,Low Stress
jammu and kashmir,10,1236829,637,1941.646781789639,0.05584643325320687,Low Stress
jammu and kashmir,11,297446,637,466.9481946624804,0.011924196593583042,Low Stress
jammu and kashmir,12,560440,637,879.8116169544741,0.024220868673087467,Low Stress
jammu and kashmir,13,266215,637,417.9199372056515,0.010463945159272741,Low Stress
jammu and kashmir,14,1078692,637,1693.3940345368917,0.04845250475051635,Low Stress
jammu and kashmir,15,424483,637,666.3783359497645,0.017863998760035523,Low Stress
jammu and kashmir,16,409936,637,643.5416012558869,0.01718383233517202,Low Stress
jammu and kashmir,17,283713,637,445.3893249607535,0.011282089938420435,Low Stress
jammu and kashmir,18,230696,637,362.16012558869704,0.008803201965162162,Low Stress
jammu and kashmir,19,554985,637,871.2480376766091,0.02396581210832289,Low Stress
jammu and kashmir,20,314667,637,493.9827315541601,0.01272938982947871,Low Stress
jammu and kashmir,21,1529958,637,2401.817896389325,0.06955211167169952,Low Stress
jammu and kashmir,22,318898,637,500.6248037676609,0.012927216470270453,Low Stress
himachal pradesh,0,6864602,474,14482.282700421942,0.42935515123019935,Low Stress
himachal pradesh,23,519080,474,1095.1054852320676,0.03063315408272892,Low Stress
himachal pradesh,24,1510075,474,3185.81223628692,0.0929025001764242,Low Stress
himachal pradesh,25,31564,474,66.59071729957806,0.0,Low Stress
himachal pradesh,26,437903,474,923.8459915611814,0.025532382930656607,Low Stress
himachal pradesh,27,999777,474,2109.23417721519,0.06083783509444043,Low Stress
himachal pradesh,28,454768,474,959.4261603375527,0.026592098188422963,Low Stress
himachal pradesh,29,521173,474,1099.5210970464136,0.030764668107899688,Low Stress
himachal pradesh,30,381956,474,805.8143459915611,0.022016943290795687,Low Stress
himachal pradesh,31,580320,474,1224.3037974683543,0.034481180313716865,Low Stress
himachal pradesh,32,529855,474,1117.837552742616,0.03131020311340977,Low Stress
himachal pradesh,33,814010,474,1717.3206751054852,0.049165132794441437,Low Stress
himachal pradesh,34,84121,474,177.4704641350211,0.0033024283903010034,Low Stress
punjab,0,27743338,436,63631.50917431193,1.8932095114822602,Low Stress
punjab,35,2298323,436,5271.383027522936,0.15501887749086765,Low Stress
punjab,36,815168,436,1869.651376146789,0.053702131175037054,Low Stress
punjab,37,2193590,436,5031.1697247706425,0.14786439478886018,Low Stress
punjab,38,1586625,436,3639.048165137615,0.10640162189756552,Low Stress
punjab,39,612310,436,1404.380733944954,0.03984456906983782,Low Stress
punjab,40,600163,436,1376.5206422018348,0.039014787612405254,Low Stress
punjab,41,3498739,436,8024.630733944954,0.23702125980793098,Low Stress
punjab,42,995746,436,2283.821100917431,0.06603771000275233,Low Stress
punjab,43,2029074,436,4653.839449541284,0.13662603747833282,Low Stress
punjab,44,901896,436,2068.5688073394494,0.05962666284871873,Low Stress
punjab,45,617508,436,1416.302752293578,0.04019965296015925,Low Stress
punjab,46,1388525,436,3184.690366972477,0.09286908656230652,Low Stress
punjab,47,769751,436,1765.4839449541284,0.05059962154696306,Low Stress
punjab,48,1895686,436,4347.90366972477,0.12751408481150028,Low Stress
punjab,49,2490656,436,5712.51376146789,0.16815745961422132,Low Stress
punjab,50,1119627,436,2567.951834862385,0.07450022393443943,Low Stress
punjab,51,684627,436,1570.2454128440368,0.04478466173939827,Low Stress
punjab,52,994628,436,2281.256880733945,0.06596133759232921,Low Stress
punjab,53,1655169,436,3796.2591743119265,0.11108397475985725,Low Stress
punjab,54,595527,436,1365.8876146788991,0.03869809486220707,Low Stress
uttarakhand,0,10086292,257,39246.27237354086,1.1669226952380392,Low Stress
uttarakhand,56,330086,257,1284.3813229571983,0.03627052175303165,Low Stress
uttarakhand,57,391605,257,1523.7548638132296,0.04339999309267169,Low Stress
uttarakhand,58,242285,257,942.7431906614786,0.026095214724443164,Low Stress
uttarakhand,59,618931,257,2408.291828793774,0.06974493045763228,Low Stress
uttarakhand,60,1696694,257,6601.922178988327,0.19464748770701,Low Stress
uttarakhand,61,687271,257,2674.206225680934,0.07766489130470393,Low Stress
uttarakhand,62,483439,257,1881.0856031128405,0.05404268674836348,Low Stress
uttarakhand,63,259898,257,1011.2762645914397,0.02813639515171084,Low Stress
uttarakhand,64,622506,257,2422.2023346303504,0.07015923920841194,Low Stress
uttarakhand,65,259648,257,1010.3035019455253,0.02810742251179618,Low Stress
